Atur registrat. Per sexe. Mitjanes anuals;;;;
Municipis. 2024;;;;
Unitats: Persones.;;;;
Font: Departament d'Empresa i Treball.;;;;
Institut d'Estadística de Catalunya;;;;
https://www.idescat.cat/pub/?id=atureg&n=4299&geo=mun;;;;
Codi;Nom;Sexe. Homes;Sexe. Dones;Sexe. Total
251667;Pinell de Solsonès;1,9;1,4;3,3
251673;Pinós;5,0;3,1;8,1
431074;Pira;7,4;8,9;16,3
431080;Pla de Santa Maria, el;57,3;66,6;123,9
081640;Pla del Penedès, el;26,1;34,3;60,3
171334;Planes d'Hostoles, les;20,3;25,5;45,8
171349;Planoles;8,9;2,4;11,3
259118;Plans de Sió, els;4,8;8,8;13,6
251689;Poal, el;5,5;7,3;12,8
251692;Pobla de Cérvoles, la;4,2;2,6;6,8
081653;Pobla de Claramunt, la;33,3;59,3;92,5
081666;Pobla de Lillet, la;13,9;24,3;38,3
431093;Pobla de Mafumet, la;67,4;134,2;201,6
431107;Pobla de Massaluca, la;4,5;4,3;8,8
431114;Pobla de Montornès, la;74,0;117,6;191,6
251713;Pobla de Segur, la;48,9;48,3;97,3
431129;Poboleda;3,7;3,0;6,7
081672;Polinyà;151,6;210,9;362,5
431135;Pont d'Armentera, el;16,3;13,4;29,8
250306;Pont de Bar, el;4,9;3,4;8,3
171352;Pont de Molins;5,5;7,8;13,3
251734;Pont de Suert, el;21,9;28,8;50,7
081825;Pont de Vilomara i Rocafort, el;92,0;123,2;215,2
431418;Pontils;4,6;2,7;7,3
081688;Pontons;19,3;17,3;36,6
