Ajuntaments 
Institut d'Estadística de Catalunya
https://www.idescat.cat/codis/?id=50&n=4
Codi;Nom;Codi ajuntament;Codi comarca;
171693;Sant Julià de Ramis;1716930008;20;
082205;Sant Julià de Vilatorta;0822050006;24;
179032;Sant Julià del Llor i Bonmatí;1790320002;34;
082212;Sant Just Desvern;0822120002;11;
082227;Sant Llorenç d'Hortons;0822270005;03;
171714;Sant Llorenç de la Muga;1717140003;02;
251930;Sant Llorenç de Morunys;2519300000;35;
082233;Sant Llorenç Savall;0822330008;40;
082251;Sant Martí d'Albars;0822510007;43;
082248;Sant Martí de Centelles;0822480001;24;
171729;Sant Martí de Llémena;1717290004;20;
259025;Sant Martí de Riucorb;2590250006;38;
082264;Sant Martí de Tous;0822640003;06;
082270;Sant Martí Sarroca;0822700000;03;
082286;Sant Martí Sesgueioles;0822860009;06;
171735;Sant Martí Vell;1717350006;20;
082299;Sant Mateu de Bages;0822990004;07;
